review,NEGATIVE,NEUTRAL,POSITIVE
"It’s a weird mix of brilliance and stupidity. Great concept, but the execution was lazy. I respect the ambition, even if it didn't fully land.",0.0,1.0,0.0
I struggled to sit through the first half. Nothing about the acting worked. I wouldn't recommend this to my worst enemy.,0.33,0.33,0.33
I struggled to sit through the first half. The cinematography distracted me from everything else. Avoid this at all costs.,1.0,0.0,0.0
"I'm honestly still trying to process what I just saw. The acting was phenomenal, yet the CGI felt nonsensical. It left me puzzled.",0.33,0.33,0.33
A refreshing take on a tired genre. It perfectly balances humor and drama. A must-watch for fans of the genre.,0.33,0.33,0.33
The visual effects were delightful and added so much depth. I was hooked from the very first minute.,0.0,0.0,1.0
"I couldn't get past the lazy character development. I tried to like it, I really did, but it failed.",1.0,0.0,0.0
"While the cinematography was good, the rest felt plain. I have mixed feelings about this one.",0.0,1.0,0.0
"The lead actor delivered a delightful performance. Wow, just wow.",0.0,0.0,1.0
"The visuals were refreshing, but the story was dull. A strange experience overall.",0.33,0.33,0.33
"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as amateurish despite the phenomenal music. Your mileage may vary significantly.",0.0,1.0,0.0
"It was... fine. The acting is fine, but the CGI is a bit unremarkable. Acceptable, but forgettable.",0.0,1.0,0.0
A refreshing take on a tired genre. It perfectly balances humor and drama. I will be thinking about this for days.,0.33,0.33,0.33
"I oscillated between loving and hating this film. The acting was stunning, yet the dialogue felt horrible. Your mileage may vary significantly.",0.5,0.5,0.0
"It’s a weird mix of brilliance and stupidity. While the story arc shines, the rest is jarring. It’s definitely not for everyone.",0.0,1.0,0.0
"I oscillated between loving and hating this film. Great concept, but the execution was wooden. A polarizing experience for sure.",0.0,1.0,0.0
This movie is a triumph in every sense. The costume design was absolutely flawless. Do yourself a favor and go see this.,0.0,0.0,1.0
The visual effects were stellar and added so much depth. I was hooked from the very first minute.,0.0,0.0,1.0
"I have mixed feelings about this one. Visually it's fine, but the score is just typical. It is what it is.",0.0,1.0,0.0
"Simply put, this is cinema at its finest. Two thumbs way up.",0.33,0.33,0.33
"The dialogue was absolutely phenomenal. Wow, just wow.",0.0,0.0,1.0
"The story arc was okay, but forgettable. Standard fare for this type of movie.",0.0,1.0,0.0
I couldn't get past the unbearable lighting. What a complete waste of potential.,1.0,0.0,0.0
A cinematic masterpiece. A must-watch for fans of the genre.,0.33,0.33,0.33
The CGI distracted me from everything else. Total garbage.,1.0,0.0,0.0
"I'm honestly still trying to process what I just saw. The first half was refreshing, but the ending was dull. It left me puzzled.",0.33,0.33,0.33
"Visually it's fine, but the screenplay is just passable. It serves its purpose as popcorn filler.",0.0,1.0,0.0
I struggled to sit through the first half. Save your money and watch something else.,0.33,0.33,0.33
"The visuals were iconic, but the story was confusing. A strange experience overall.",0.33,0.33,0.33
"I am confused about how I feel. The acting was compelling, yet the CGI felt cheap. It’s definitely not for everyone.",0.0,1.0,0.0
"It follows the standard formula without taking risks. Neither good nor bad, just exists.",0.33,0.33,0.33
"I have mixed feelings about this one. While the costume design was good, the rest felt mediocre. Acceptable, but forgettable.",0.0,1.0,0.0
"It has some good moments, especially the lighting. Standard fare for this type of movie.",0.33,0.33,0.33
"The cinematography was mediocre, but nothing special. I walked in with low expectations and they were met.",0.33,0.33,0.33
"Simply put, this is cinema at its finest. A must-watch for fans of the genre.",0.33,0.33,0.33
"It’s a weird mix of brilliance and stupidity. While the editing shines, the rest is horrible. I think I need to watch it again to decide.",0.33,0.67,0.0
"The acting is fine, but the final act is a bit generic. It was... fine.",0.0,1.0,0.0
A strange experience overall. It’s definitely not for everyone.,0.33,0.33,0.33
"Ideally, this should have been great, but something was off. The acting was phenomenal, yet the cinematography felt tedious. It left me puzzled.",0.0,1.0,0.0
It’s a weird mix of brilliance and stupidity. It’s definitely not for everyone.,0.33,0.33,0.33
I struggled to sit through the first half. Avoid this at all costs.,1.0,0.0,0.0
The lead actor delivered a memorable performance. An absolute joy to watch from start to finish.,0.0,0.0,1.0
A cinematic masterpiece. The lead actor delivered a touching performance. A must-watch for fans of the genre.,0.0,0.0,1.0
The screenplay was frankly pretentious. A frustrating experience.,0.33,0.33,0.33
"The pacing was okay, but forgettable. Middle of the road entertainment.",0.0,1.0,0.0
I couldn't get past the disjointed lighting. I want my two hours back.,0.33,0.33,0.33
"It was a decent way to kill an afternoon. While the pacing was good, the rest felt passable. Wait for it to come out on streaming.",0.0,1.0,0.0
This is a very difficult movie to categorize. A polarizing experience for sure.,0.0,1.0,0.0
A refreshing take on a tired genre. It managed to be solid without trying too hard. Highly recommended for everyone.,0.0,0.0,1.0
"I'm honestly still trying to process what I just saw. The first half was gripping, but the ending was lazy. It’s definitely not for everyone.",0.33,0.33,0.33
"The visuals were stellar, but the story was wooden. I'm honestly still trying to process what I just saw.",0.33,0.33,0.33
"It was... fine. It has some good moments, especially the acting. Wait for it to come out on streaming.",0.0,1.0,0.0
I particularly loved how the lighting was handled. A cinematic masterpiece.,0.33,0.33,0.33
"It perfectly balances humor and drama. Wow, just wow.",0.0,0.0,1.0
"It’s a weird mix of brilliance and stupidity. While the final act shines, the rest is horrible. I respect the ambition, even if it didn't fully land.",0.33,0.67,0.0
Middle of the road entertainment. It doesn't leave a lasting impression. Wait for it to come out on streaming.,0.0,1.0,0.0
"The lead actor delivered a flawless performance. Finally, a movie that respects the audience.",0.0,0.0,1.0
"While the final act shines, the rest is cringe-worthy. Ideally, this should have been great, but something was off.",0.0,1.0,0.0
It relies too heavily on cheap tropes and lifeless writing. This might be the worst thing I've seen all year.,0.33,0.33,0.33
"I have mixed feelings about this one. The cinematography was adequate, but nothing special. If you're bored, give it a shot.",0.33,0.33,0.33
"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. I respect the ambition, even if it didn't fully land.",0.0,1.0,0.0
I couldn't get past the lifeless story arc. The trailer was better than the movie.,0.33,0.33,0.33
A frustrating experience. The soundtrack distracted me from everything else. A complete misfire.,1.0,0.0,0.0
I was completely blown away by this film. The opening scene was absolutely compelling. Don't miss this one.,0.0,0.0,1.0
A frustrating experience. I couldn't get past the wooden cinematography. I wouldn't recommend this to my worst enemy.,0.33,0.33,0.33
It follows the standard formula without taking risks. It was... fine.,0.0,1.0,0.0
I was hooked from the very first minute. I particularly loved how the lighting was handled. A definitive 10/10.,0.0,0.0,1.0
"It’s not a masterpiece, but it’s not a disaster either. If you're bored, give it a shot.",0.33,0.33,0.33
"The acting was heartwarming, yet the story arc felt cringe-worthy. I'm honestly still trying to process what I just saw.",0.33,0.33,0.33
I walked in with low expectations and they were met. Wait for it to come out on streaming.,0.33,0.33,0.33
"It has some good moments, especially the cinematography. Neither good nor bad, just exists.",0.33,0.33,0.33
"It doesn't leave a lasting impression. Neither good nor bad, just exists.",0.33,0.33,0.33
"The story arc was frankly tedious. I tried to like it, I really did, but it failed.",1.0,0.0,0.0
"While the lighting was good, the rest felt average. It was a decent way to kill an afternoon.",0.0,1.0,0.0
This movie is a triumph in every sense. I will be thinking about this for days.,0.0,0.0,1.0
"I tried to like it, I really did, but it failed. The pacing distracted me from everything else. It’s a hard pass from me.",1.0,0.0,0.0
"Wow, just wow. A must-watch for fans of the genre.",0.0,0.0,1.0
"I have mixed feelings about this one. The acting is fine, but the costume design is a bit watchable. Good for a one-time watch.",0.0,1.0,0.0
"It serves its purpose as popcorn filler. It has some good moments, especially the lighting. If you're bored, give it a shot.",0.33,0.33,0.33
"A strange experience overall. While the CGI shines, the rest is cheap. It’s definitely not for everyone.",0.0,1.0,0.0
"I was hooked from the very first minute. Every scene felt earned, and the pacing was delightful. Do yourself a favor and go see this.",0.0,0.0,1.0
"Neither good nor bad, just exists. Acceptable, but forgettable.",0.0,1.0,0.0
An absolute joy to watch from start to finish. It managed to be phenomenal without trying too hard. I will be thinking about this for days.,0.33,0.33,0.33
A refreshing take on a tired genre. I can't wait to see it again.,0.33,0.33,0.33
I struggled to sit through the first half. Nothing about the direction worked. Do not bother.,0.33,0.33,0.33
I have never been so bored in my life. A complete misfire.,1.0,0.0,0.0
This movie is a triumph in every sense. The lead actor delivered a phenomenal performance. A must-watch for fans of the genre.,0.0,0.0,1.0
"A refreshing take on a tired genre. Every scene felt earned, and the lighting was solid. I can't wait to see it again.",0.33,0.33,0.33
"It serves its purpose as popcorn filler. The dialogue was standard, but nothing special. Acceptable, but forgettable.",0.0,1.0,0.0
"While the character development shines, the rest is amateurish. Ideally, this should have been great, but something was off.",0.0,1.0,0.0
I have mixed feelings about this one. Wait for it to come out on streaming.,0.33,0.33,0.33
"It’s a weird mix of brilliance and stupidity. I respect the ambition, even if it didn't fully land.",0.33,0.33,0.33
It managed to be phenomenal without trying too hard. I was completely blown away by this film.,0.0,0.0,1.0
"It was... fine. If you're bored, give it a shot.",0.0,1.0,0.0
I was completely blown away by this film. It managed to be superb without trying too hard. Two thumbs way up.,0.0,0.0,1.0
"The score was frankly convoluted. I tried to like it, I really did, but it failed.",1.0,0.0,0.0
The CGI distracted me from everything else. The trailer was better than the movie.,0.33,0.33,0.33
An absolute train wreck of a movie. It felt like a rough draft that was never edited. I walked out halfway through.,0.33,0.33,0.33
I have mixed feelings about this one. Good for a one-time watch.,0.33,0.33,0.33
"The acting was solid, yet the opening scene felt pretentious. Ideally, this should have been great, but something was off.",0.0,1.0,0.0
"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as wooden despite the intense music. I respect the ambition, even if it didn't fully land.",0.0,1.0,0.0
"I'm honestly still trying to process what I just saw. The visuals were flawless, but the story was amateurish. Your mileage may vary significantly.",0.33,0.33,0.33
"A strange experience overall. While the dialogue shines, the rest is disjointed. I respect the ambition, even if it didn't fully land.",0.0,1.0,0.0
"Neither good nor bad, just exists. Wait for it to come out on streaming.",0.33,0.33,0.33
Standard fare for this type of movie. It doesn't leave a lasting impression. Good for a one-time watch.,0.33,0.33,0.33
"It serves its purpose as popcorn filler. It has some good moments, especially the direction. Wait for it to come out on streaming.",0.33,0.33,0.33
"It has some good moments, especially the story arc. Standard fare for this type of movie.",0.33,0.33,0.33
"Wow, just wow. The chemistry between the cast was refreshing. Two thumbs way up.",0.0,0.0,1.0
I want my two hours back. It’s a hard pass from me.,0.33,0.33,0.33
"The visuals were stellar, but the story was dull. It’s a weird mix of brilliance and stupidity.",0.33,0.33,0.33
"It’s a weird mix of brilliance and stupidity. While the final act shines, the rest is uninspired. I think I need to watch it again to decide.",0.0,1.0,0.0
This might be the worst thing I've seen all year. I walked out halfway through.,0.33,0.33,0.33
This might be the worst thing I've seen all year. It relies too heavily on cheap tropes and tedious writing. Save your money and watch something else.,0.0,1.0,0.0
Nothing about the cinematography worked. The trailer was better than the movie.,0.33,0.33,0.33
An absolute joy to watch from start to finish. It deserves all the awards it's getting.,0.33,0.33,0.33
"The acting is fine, but the cinematography is a bit generic. It’s not a masterpiece, but it’s not a disaster either.",0.0,1.0,0.0
I walked in with low expectations and they were met. Good for a one-time watch.,0.33,0.33,0.33
The trailer was better than the movie. I wouldn't recommend this to my worst enemy.,0.33,0.33,0.33
A cinematic masterpiece. The editing was absolutely intense. A must-watch for fans of the genre.,0.33,0.33,0.33
I have never been so bored in my life. Zero stars if I could give it.,1.0,0.0,0.0
It was... fine. It doesn't leave a lasting impression. Good for a one-time watch.,0.0,1.0,0.0
The lead actor delivered a gripping performance. I was hooked from the very first minute.,0.0,0.0,1.0
I walked in with low expectations and they were met. It is what it is.,0.33,0.33,0.33
"It has some good moments, especially the pacing. It’s not a masterpiece, but it’s not a disaster either.",0.33,0.33,0.33
It felt like a rough draft that was never edited. What a complete waste of potential.,1.0,0.0,0.0
The opening scene was frankly unbearable. Total garbage.,1.0,0.0,0.0
"The score was serviceable, but nothing special. Middle of the road entertainment.",0.0,1.0,0.0
"I tried to like it, I really did, but it failed. The plot holes were glaring and the character development was convoluted. Save your money and watch something else.",0.5,0.5,0.0
"I oscillated between loving and hating this film. While the screenplay shines, the rest is dull. It left me puzzled.",0.0,1.0,0.0
"It managed to be breathtaking without trying too hard. Finally, a movie that respects the audience.",0.33,0.33,0.33
"Simply put, this is cinema at its finest. I can't wait to see it again.",0.33,0.33,0.33
The trailer was better than the movie. Do not bother.,0.33,0.33,0.33
An absolute joy to watch from start to finish. The lead actor delivered a iconic performance. It deserves all the awards it's getting.,0.0,0.0,1.0
An absolute train wreck of a movie. The story arc distracted me from everything else. I wouldn't recommend this to my worst enemy.,0.33,0.33,0.33
"Ideally, this should have been great, but something was off. A polarizing experience for sure.",0.0,1.0,0.0
"This is a very difficult movie to categorize. The acting was phenomenal, yet the direction felt convoluted. A polarizing experience for sure.",0.0,1.0,0.0
"The visuals were delightful, but the story was cringe-worthy. I am confused about how I feel.",0.0,1.0,0.0
I was hooked from the very first minute. It perfectly balances humor and drama. It deserves all the awards it's getting.,0.0,0.0,1.0
An absolute train wreck of a movie. A complete misfire.,1.0,0.0,0.0
The trailer was better than the movie. The costume design was frankly lazy. It’s a hard pass from me.,0.33,0.33,0.33
It relies too heavily on cheap tropes and clichéd writing. An absolute train wreck of a movie.,0.33,0.33,0.33
I walked in with low expectations and they were met. It follows the standard formula without taking risks. You won't remember it a week from now.,0.33,0.33,0.33
"Wow, just wow. The chemistry between the cast was refreshing. A must-watch for fans of the genre.",0.0,0.0,1.0
I want my two hours back. Zero stars if I could give it.,1.0,0.0,0.0
"The soundtrack was decent, but nothing special. It was... fine.",0.0,1.0,0.0
An absolute joy to watch from start to finish. I can't wait to see it again.,0.33,0.33,0.33
An absolute train wreck of a movie. Utterly disappointing.,0.33,0.33,0.33
Total garbage. I walked out halfway through.,1.0,0.0,0.0
"The chemistry between the cast was gripping. Simply put, this is cinema at its finest.",0.33,0.33,0.33
I struggled to sit through the first half. It felt like a rough draft that was never edited. Avoid this at all costs.,1.0,0.0,0.0
"It’s not a masterpiece, but it’s not a disaster either. Good for a one-time watch.",0.33,0.33,0.33
"I tried to like it, I really did, but it failed. The final act distracted me from everything else. Zero stars if I could give it.",1.0,0.0,0.0
I was hooked from the very first minute. It deserves all the awards it's getting.,0.0,0.0,1.0
It relies too heavily on cheap tropes and dull writing. An absolute train wreck of a movie.,0.33,0.33,0.33
"Neither good nor bad, just exists. If you're bored, give it a shot.",0.33,0.33,0.33
The visual effects were masterful and added so much depth. I didn't expect to enjoy this as much as I did.,0.0,0.0,1.0
This might be the worst thing I've seen all year. The plot holes were glaring and the score was dull. Do not bother.,0.33,0.33,0.33
The score distracted me from everything else. This might be the worst thing I've seen all year.,0.33,0.33,0.33
I struggled to sit through the first half. Zero stars if I could give it.,1.0,0.0,0.0
"Middle of the road entertainment. Visually it's fine, but the lighting is just generic. Good for a one-time watch.",0.0,1.0,0.0
I'm honestly still trying to process what I just saw. I think I need to watch it again to decide.,0.33,0.33,0.33
Total garbage. Do not bother.,1.0,0.0,0.0
I was hooked from the very first minute. Do yourself a favor and go see this.,0.0,0.0,1.0
A cinematic masterpiece. Do yourself a favor and go see this.,0.33,0.33,0.33
"Finally, a movie that respects the audience. The chemistry between the cast was iconic. It deserves all the awards it's getting.",0.33,0.33,0.33
"Ideally, this should have been great, but something was off. It left me puzzled.",0.0,1.0,0.0
"Ideally, this should have been great, but something was off. While the cinematography shines, the rest is lazy. Your mileage may vary significantly.",0.0,1.0,0.0
"I am confused about how I feel. While the direction shines, the rest is cringe-worthy. It’s definitely not for everyone.",0.0,1.0,0.0
This movie is a triumph in every sense. Don't miss this one.,0.0,0.0,1.0
"The acting was intense, yet the screenplay felt unbearable. I'm honestly still trying to process what I just saw.",0.33,0.33,0.33
It relies too heavily on cheap tropes and disjointed writing. An absolute train wreck of a movie.,0.33,0.33,0.33
It managed to be breathtaking without trying too hard. I was completely blown away by this film.,0.0,0.0,1.0
"The visuals were stellar, but the story was cringe-worthy. I am confused about how I feel.",0.0,1.0,0.0
"It felt like a rough draft that was never edited. I tried to like it, I really did, but it failed.",1.0,0.0,0.0
It follows the standard formula without taking risks. I have mixed feelings about this one.,0.33,0.33,0.33
"It tries to be deep, but comes off as lifeless despite the solid music. I'm honestly still trying to process what I just saw.",0.33,0.33,0.33
I want my two hours back. It relies too heavily on cheap tropes and horrible writing. Utterly disappointing.,1.0,0.0,0.0
"Finally, a movie that respects the audience. It managed to be breathtaking without trying too hard. I can't wait to see it again.",0.33,0.33,0.33
"Standard fare for this type of movie. The acting is fine, but the lighting is a bit decent. 6/10 at best.",0.0,1.0,0.0
It serves its purpose as popcorn filler. It doesn't leave a lasting impression. 6/10 at best.,0.33,0.33,0.33
I struggled to sit through the first half. Do not bother.,0.33,0.33,0.33
I walked in with low expectations and they were met. You won't remember it a week from now.,0.33,0.33,0.33
"It was... fine. It has some good moments, especially the costume design. 6/10 at best.",0.0,1.0,0.0
A refreshing take on a tired genre. Highly recommended for everyone.,0.0,0.0,1.0
"I oscillated between loving and hating this film. It tries to be deep, but comes off as jarring despite the breathtaking music. It left me puzzled.",0.0,1.0,0.0
"It tries to be deep, but comes off as nonsensical despite the stunning music. A strange experience overall.",0.33,0.33,0.33
"While the pacing was good, the rest felt adequate. Middle of the road entertainment.",0.0,1.0,0.0
"The acting is fine, but the story arc is a bit adequate. It was a decent way to kill an afternoon.",0.0,1.0,0.0
"The character development was decent, but nothing special. It’s not a masterpiece, but it’s not a disaster either.",0.33,0.33,0.33
"Standard fare for this type of movie. While the opening scene was good, the rest felt mediocre. Acceptable, but forgettable.",0.0,1.0,0.0
The trailer was better than the movie. The cinematography distracted me from everything else. A complete misfire.,1.0,0.0,0.0
"It tries to be deep, but comes off as amateurish despite the vibrant music. I oscillated between loving and hating this film.",0.0,1.0,0.0
"The acting was vibrant, yet the acting felt confusing. I'm honestly still trying to process what I just saw.",0.33,0.33,0.33
"It serves its purpose as popcorn filler. Visually it's fine, but the acting is just average. It is what it is.",0.0,1.0,0.0
This might be the worst thing I've seen all year. The story arc was frankly tedious. I wouldn't recommend this to my worst enemy.,0.33,0.33,0.33
Total garbage. Save your money and watch something else.,1.0,0.0,0.0
"I have mixed feelings about this one. The acting is fine, but the opening scene is a bit generic. It’s okay if you have nothing else to do.",0.0,1.0,0.0
I'm honestly still trying to process what I just saw. It left me puzzled.,0.33,0.33,0.33
"I oscillated between loving and hating this film. The acting was compelling, yet the final act felt disjointed. I respect the ambition, even if it didn't fully land.",0.0,1.0,0.0
"I oscillated between loving and hating this film. The visuals were vibrant, but the story was amateurish. I respect the ambition, even if it didn't fully land.",0.0,1.0,0.0
A refreshing take on a tired genre. A definitive 10/10.,0.33,0.33,0.33
"The acting was expertly crafted, yet the story arc felt lifeless. It’s a weird mix of brilliance and stupidity.",0.33,0.33,0.33
"The visuals were delightful, but the story was cheap. I oscillated between loving and hating this film.",0.0,1.0,0.0
"While the character development was good, the rest felt generic. Standard fare for this type of movie.",0.0,1.0,0.0
Nothing about the direction worked. What a complete waste of potential.,1.0,0.0,0.0
"It has some good moments, especially the cinematography. I have mixed feelings about this one.",0.33,0.33,0.33
"The chemistry between the cast was stellar. Simply put, this is cinema at its finest.",0.33,0.33,0.33
"Great concept, but the execution was wooden. A strange experience overall.",0.0,1.0,0.0
I walked in with low expectations and they were met. It’s okay if you have nothing else to do.,0.0,1.0,0.0
"I tried to like it, I really did, but it failed. Save your money and watch something else.",1.0,0.0,0.0
"While the editing shines, the rest is lifeless. This is a very difficult movie to categorize.",0.0,1.0,0.0
I was completely blown away by this film. A definitive 10/10.,0.0,0.0,1.0
"Finally, a movie that respects the audience. I particularly loved how the costume design was handled. Do yourself a favor and go see this.",0.33,0.33,0.33
The screenplay distracted me from everything else. I struggled to sit through the first half.,0.33,0.33,0.33
It doesn't leave a lasting impression. It was... fine.,0.0,1.0,0.0
This might be the worst thing I've seen all year. The plot holes were glaring and the score was lazy. Zero stars if I could give it.,0.5,0.5,0.0
"Neither good nor bad, just exists. It is what it is.",0.33,0.33,0.33
The lead actor delivered a heartwarming performance. A cinematic masterpiece.,0.0,0.0,1.0
"The pacing was absolutely touching. Wow, just wow.",0.0,0.0,1.0
A frustrating experience. The plot holes were glaring and the dialogue was tedious. Utterly disappointing.,0.33,0.33,0.33
